year,type,province,brand,model,fuel_type,mass,power,sales,weighted_Avg_Price,market_share,market_size_x,market_size_y
2019,国产新能源乘用车,内蒙古自治区,大众,途观L,插电式汽油混合动力,2300.0,85.3012048192771,83.0,0.0,8.935817805383023e-06,9288461.538461538,928.8461538461538
2019,国产新能源乘用车,内蒙古自治区,奥迪,奥迪A6L,插电式汽油混合动力,2477.0,140.0,31.0,0.0,3.337474120082816e-06,9288461.538461538,928.8461538461538
2019,国产新能源乘用车,内蒙古自治区,宝马,宝马5系,插电式汽油混合动力,2495.0,70.0,99.0,0.0,1.0658385093167702e-05,9288461.538461538,928.8461538461538
2019,国产新能源乘用车,内蒙古自治区,宝马,宝马X1,插电式汽油混合动力,2340.0,78.57142857142857,7.0,0.0,7.536231884057971e-07,9288461.538461538,928.8461538461538
2019,国产新能源乘用车,内蒙古自治区,宝骏,宝骏E100,纯电动,990.0,29.0,11.0,0.0,1.184265010351967e-06,9288461.538461538,928.8461538461538
2019,国产新能源乘用车,内蒙古自治区,小鹏,小鹏G3,纯电动,2036.0,145.0,5.0,0.0,5.383022774327123e-07,9288461.538461538,928.8461538461538
2019,国产新能源乘用车,内蒙古自治区,日产,轩逸,纯电动,1940.0,80.0,17.0,0.0,1.8302277432712217e-06,9288461.538461538,928.8461538461538
2019,国产新能源乘用车,内蒙古自治区,汉腾,汉腾X5,纯电动,1995.0,95.0,2.0,0.0,2.153209109730849e-07,9288461.538461538,928.8461538461538
2019,国产新能源乘用车,内蒙古自治区,江淮,江淮iEV6E,纯电动,1573.5961272475795,53.10511756569848,723.0,0.0,7.783850931677019e-05,9288461.538461538,928.8461538461538
2019,国产新能源乘用车,内蒙古自治区,江淮,江淮iEVA50,纯电动,2120.0,92.0,2.0,0.0,2.153209109730849e-07,9288461.538461538,928.8461538461538
2019,国产新能源乘用车,内蒙古自治区,沃尔沃,沃尔沃S90,插电式汽油混合动力,2620.0,65.0,3.0,0.0,3.2298136645962737e-07,9288461.538461538,928.8461538461538
2019,国产新能源乘用车,内蒙古自治区,沃尔沃,沃尔沃XC60,插电式汽油混合动力,2660.0,262.0,2.0,0.0,2.153209109730849e-07,9288461.538461538,928.8461538461538
2019,国产新能源乘用车,内蒙古自治区,猎豹,猎豹CS9,纯电动,2012.7083333333333,90.0,24.0,0.0,2.583850931677019e-06,9288461.538461538,928.8461538461538
2019,国产新能源乘用车,内蒙古自治区,祺智,祺智EV,纯电动,2080.0,132.0,12.0,0.0,1.2919254658385095e-06,9288461.538461538,928.8461538461538
2019,国产新能源乘用车,内蒙古自治区,福特,蒙迪欧,插电式汽油混合动力,2233.0,92.0,4.0,0.0,4.306418219461698e-07,9288461.538461538,928.8461538461538
2019,国产新能源乘用车,内蒙古自治区,红旗,红旗E-HS3,纯电动,2177.5,114.0,8.0,0.0,8.612836438923395e-07,9288461.538461538,928.8461538461538
2019,国产新能源乘用车,内蒙古自治区,荣威,荣威Ei5,纯电动,1992.2608695652175,85.0,23.0,0.0,2.4761904761904764e-06,9288461.538461538,928.8461538461538
2019,国产新能源乘用车,内蒙古自治区,蔚来,蔚来ES6,纯电动,2814.1463414634145,39.02439024390244,41.0,0.0,4.41407867494824e-06,9288461.538461538,928.8461538461538
2019,国产新能源乘用车,内蒙古自治区,蔚来,蔚来ES8,纯电动,3099.0,35.55555555555556,27.0,0.0,2.9068322981366462e-06,9288461.538461538,928.8461538461538
